headline,field,region,year,sentiment
`Tap aquaculture industry potential',Aquaculture,Malaysia,2015,1
El Nino aquaculture aid to focus on worst-hit fishing communities,Aquaculture,Philippines,2015,1
SIPA 2015: Three development agreements inked,Aquaculture,Algeria,2015,0
Industry warned not to ignore climate change,Aquaculture,New Zealand,2015,-1
Fisheries to Rethink Freshwater Aquaculture,Aquaculture,Namibia,2015,1
N$12 Million for Aquaculture,Aquaculture,Namibia,2015,1
Kentucky: KDA aquaculture specialist named to national task force,Aquaculture,USA,2015,1
Fisheries Launches Plan to Bridge Inequality,Aquaculture,Namibia,2015,1
DNV GL Announces Acquisition of Noomas Certification,Aquaculture,India,2015,0
Project could give boost to marine aquaculture,Aquaculture,USA,2015,1
Aqua Culture Master Plan Unveiled,Aquaculture,Namibia,2015,1
AQUAEXCEL2020: AQUAculture infrastructures for EXCELlence in European fish research towards 2020,Aquaculture,France,2015,1
OCEANFISH: Open Ocean Fish farms,Aquaculture,Israel,2015,0
Aquaculture the Way to Go for Namibia - Esau,Aquaculture,Namibia,2015,1
WA aquaculture earns strategic support status,Aquaculture,Australia,2015,1
Report on aquaculture calls for transparency,Aquaculture,Canada,2015,-1
"Aquaculture report falls short: critics; But industry praises Senate report, sees need for overhaul",Aquaculture,Canada,2015,-1
Petuna nets world status,Aquaculture,Australia,2015,0
Aquaculture firm lands a double prize catch,Aquaculture,Australia,2015,1
Aquaculture industry needs strict regulation,Aquaculture,Australia,2015,-1
"Fishtimator: Continual Acoustic Based Multifunctional Cage Mounted Fish estimator Deigned To Reduce Feed Waste, Fish Mortality, and Predator and Fish Escape Control",Aquaculture,Belgium,2015,1
Aquaculture's Explosive Growth Means Farmers Are About to Run Out of Fish Food,Aquaculture,Nepal,2015,-1
Aquaculture Industry Still in Its Infancy,Aquaculture,Namibia,2015,0
Increasing production from inland aquaculture in Papua New Guinea New Guinea for food and income security,Aquaculture,Australia,2015,1
Shellfish Aquaculture Technology Research Center,Aquaculture,Japan,2015,0
Project for Strengthening Research and Development on Fisheries and Aquaculture,Aquaculture,Lao,2015,1
EASY: ECO-INNOVATE-AQUACULTURE-SYSTEM,Aquaculture,Belgium,2015,1
SPACETASTE: Towards off flavour free finfish aquaculture,Aquaculture,Switzerland,2015,-1
Aquaculture firm opens plant,Aquaculture,Australia,2015,1
From farm to palate,Aquaculture,China,2015,1
Sea change looming; Aquaculture,Aquaculture,Australia,2015,-1
ECOFISH: Researches on the potential conversion of conventional fish farms into organic by establishing a model and good practice guide,Aquaculture,Belgium,2015,1
Solwezi in Aquaculture Intervention Move,Aquaculture,Zambia,2015,-1
Paving the way for aquaculture; Fish farming: New area for growth,Aquaculture,Australia,2015,1
Aquaculture saviour for Bluff and island Ministry of Primary Industries report,Aquaculture,New Zealand,2015,1
"Namibia, Congo Discuss Aquaculture Improvement",Aquaculture,Namibia,2015,1
Aquaculture Can Tackle Poverty and Unemployment,Aquaculture,Namibia,2015,1
Strategic drive to boost sustainable aquaculture,Aquaculture,Ireland,2015,1
Aquaculture firm appealing protection order,Aquaculture,Canada,2015,-1
Fison Seeks Establishment of Fisheries Commission,Aquaculture,Nigeria,2015,0
Global Aquaculture Alliance and Preferred Freezer Services partnership empowers UMass Dartmouth students to build global aquaculture facilities database,Aquaculture,USA,2015,1
Huge Potential Seen for Aquaculture in Krishna,Aquaculture,India,2015,1
Zone concern for fishers,Aquaculture,USA,2015,-1
Experts to look at why EU aquaculture lacks growth,Aquaculture,Scotland,2015,1
Louisiana: Aquaculture offers economic opportunities worldwide,Aquaculture,USA,2015,1
Super prawns breakthrough,Aquaculture,Australia,2015,1
Aquaculture projects to generate flow-on effect,Aquaculture,Australia,2015,1
M.A.P. INSIGHTS; OUR GOLD COAST,Aquaculture,Indonesia,2015,1
Research and Markets: Aquaculture Market in China 2015-2019,Aquaculture,India,2015,0
Triton Group pledges $54m investment in Nigeria's aquaculture,Aquaculture,Nigeria,2015,1
New zones proposed for Franklin Harbour,Aquaculture,Australia,2015,0
Aquaculture a Headache - Esau,Aquaculture,Namibia,2015,-1
"Virginia's aquaculture oyster, clam harvests set records",Aquaculture,USA,2015,1
Contributions of aquaculture highlighted,Aquaculture,Pakistan,2015,1
Diversification of smallholder coastal aquaculture in Indonesia,Aquaculture,Indonesia,2015,1
Cooke Aquaculture division nets 'four star' certification,Aquaculture,Canada,2015,1
Ted Maney is panelist for webinar on permitting offshore aquaculture,Aquaculture,USA,2015,1
Upset residents want more say in aquaculture vetting,Aquaculture,Australia,2015,-1
Six nations join FAO for sustainable aquaculture,Aquaculture,Thailand,2015,1
North-West Earmarked for Aquaculture Value Chain,Aquaculture,Zambia,2015,1
Use science to guide competing fisheries,Aquaculture,Canada,2015,0
Aquaculture focus,Aquaculture,Philippines,2015,0
New Facilities to Boost Aquaculture Production,Aquaculture,Namibia,2015,1
New Aquaculture Licensing in British Columbia to Improve Business Planning and Encourage Investments in Sustainable Practices,Aquaculture,Canada,2015,1
CityU course seeks to modernise aquaculture,Aquaculture,Scotland,2015,1
Aquaculture outreach at Iowa State evolves with industry,Aquaculture,USA,2015,1
NAQUA presented with 'Best Aquaculture Practices' certificate,Aquaculture,USA,2015,1
Mixed reception for aquaculture leases,Aquaculture,Wales,2015,-1
Fostering Economic Growth by Supporting Aquaculture,Aquaculture,Canada,2015,1
"USPTO grants trade mark INTELLILUM"" to Gregory A.M. Brown (INDIVIDUAL) (NEVADA)""",Aquaculture,USA,2015,0
Army Corps opens comment period for aquaculture; Shellfish farming needs corps approval before leases begin,Aquaculture,USA,2015,0
CARGILL FEEDING ON FISH FARMING,Aquaculture,USA,2015,0
DEAKIN students and disadvantaged communities will,Aquaculture,Canada,2015,0
PRESS RELEASE - CANADIAN COUNCIL OF FISHERIES AND AQUACULTURE MINISTERS CONTINUE TO WORK TOGETHER TO PROTECT CANADA'S FISHERIES,Aquaculture,Canada,2015,-1
SQU conducts special fish feast to boost aquaculture,Aquaculture,Oman,2015,1
Marine Aquaculture Development in the Sultanate of Oman/ Symposium,Aquaculture,Oman,2014,1
Fine imposed on Cooke Aquaculture subsidiary,Aquaculture,Canada,2014,-1
Rhodes boffins are fully behind Africa aquaculture plan,Aquaculture,South Africa,2014,1
Rhodes fish experts link up with African varsities,Aquaculture,South Africa,2014,0
Social licence vital for aquaculture,Aquaculture,New Zealand,2014,1
Appointments to the Climate and Aquaculture Task Forces by the Marine Fisheries Advisory Committee,Aquaculture,USA,2014,1
Queensland to reap benefits of aquaculture boom,Aquaculture,Canada,2014,1
NMIT to launch aquaculture degree,Aquaculture,New Zealand,2014,1
Aquaculture courses a first,Aquaculture,New Zealand,2014,0
"AUSTRALIA'S aquaculture sector needs real capital""""",Aquaculture,Australia,2014,0
Portland biotech firm alleges patent infringements by Cooke Aquaculture,Aquaculture,USA,2014,-1
Maclean hears fish farming feeds more than beef does,Aquaculture,Australia,2014,1
Fledgling fisheries lure China; Brad Thompson; WA aquaculture interest,Aquaculture,Australia,2014,1
"Fisheries of the Caribbean, Gulf, and South Atlantic; Aquaculture",Aquaculture,USA,2014,0
Firm views held on sea farm effect,Aquaculture,New Zealand,2014,-1
Ailing Fish Farmer Shows Gaps in Greek Bankruptcy Regime,Aquaculture,Greece,2014,0
Future of aquaculture 'oversold',Aquaculture,New Zealand,2014,-1
PROMOTING FISHING OF MARINE AND INLAND FISH,Aquaculture,India,2014,0
Demand for inland water fish on the rise - Rajitha,Aquaculture,Sri Lanka,2014,0
$20 million federal grant to fund Maine aquaculture research network,Aquaculture,USA,2014,1
Rapid aquaculture expansion alarms residents on Bagaduce River,Aquaculture,USA,2014,-1
Aquaculture farms to revive plunging fish stocks,Aquaculture,United Arab Emirates,2014,1
Delaware: DNREC announces final regulation for shellfish aquaculture in the Inland Bays,Aquaculture,USA,2014,0
Catalyzing women participation in aquaculture,Aquaculture,India,2014,1
Aquaculture strategy launched,Aquaculture,Malta,2014,1
